tab,question,answer
BILLING,What will happen to my payment method?,Your payment method will remain the same. The only change will be the new price for STARZPLAY MAX.
BILLING,Will my current benefits change?,"No, you’ll continue enjoying all the current benefits along with the added benefits brought part of your new STARZPLAY MAX subscription."
BILLING,Can I switch back to my old subscription after the change?,"No, once you are migrated to STARZPLAY MAX, you cannot revert to the legacy subscription.
For any further questions, please contact support. We're here to help!"
BILLING,Will I receive a refund if I cancel before the price change?,"If you cancel your subscription before the renewal, you will not be charged the new price. Refunds are subject to the standard terms and conditions."
BILLING,Can I cancel my subscription before the price change?,"Yes, you can cancel your subscription before your renewal. After canceling, you will not be charged the new price."
BILLING,What if I subscribe during the notice period?,"You’ll receive a notice on your first renewal, and the migration to STARZPLAY MAX will happen on your second renewal."
BILLING,What’s changing with my STARZPLAY Sports subscription?,"If you are active on STARZPLAY Sports or Cricket Monthly subscription through Google IAP or Credit Card method of payment, your subscription will be automatically upgraded to STARZPLAY MAX after the notice period commences, where you will be charged with the new price on your next renewal."
BILLING,When will the change happen?,The change will happen on your second renewal after receiving the notice. You’ll continue enjoying STARZPLAY MAX during the 30-day notice period.
BILLING,How will I be notified?,"- Renewing during the notice period (Jan 10–Feb 9) will get an immediate email notice.
- New subscriptions during the notice period will get a notice on the first renewal, with the migration happening on the second consecutive renewal."
BILLING,What if I have multiple subscriptions at the same time?,"If you have STARZPLAY Sports & Cricket or STARZPLAY Sports & STARAZPLAY Entertainment as individual subscriptions, on the same payment method, both will be replaced by STARZPLAY MAX.
If you have STARZPLAY Sprots and Cricket as individual subscriptions, on the same payment method, both will be replaced by STARZPLAY MAX.
If one of these subscriptions are through Apple IAP, or payment methods other than Credit Card or Google IAP, you will need to deactivate the other subscription to avoid extra charges on the other subscription, as it would be already included in your STARZPLAY MAX subscrition."
BILLING,What happens to my discount?,"If you were benefiting from a discount on your STARZPLAY Sports subscription, it will now be applied to the new STARZPLAY MAX pricing as follows:
- For percentage-based discounts, the same percentage will be applied to the new price.
- For fixed-amount discounts, they will be replaced with a 50% discount on the new price, valid for a lifetime."
BILLING,Will I get early access to the new subscription?,"Yes, you’ll get early access to STARZPLAY MAX during the 30-day notice period before the price change."
BILLING,What’s the notice period?,"If you have subscribed prior to January 10th, then your 30-day notice period starts from your subscription's renewal date between January 10th till February 9th.
If you have subscribed between January 10th till February 9th, then your 30-day notice period starts from your subscription's renewal date between February 9th till March 11th."
BILLING,Which payment methods are affected?,"The change applies to users subscribing via Credit Cards/PayPal, and Google In-App Purchases."
BILLING,How will I be charged after the change?,"After the notice period, you’ll be charged the new STARZPLAY MAX price, with any applicable discounts applied."
BILLING,Which payment methods are affected?,"The change applies to users subscribing via Credit Cards/PayPal, and Google In-App Purchases."
BILLING,What if I subscribe during the notice period?,"You’ll receive a notice on your first renewal, and the migration to STARZPLAY MAX will happen on your second renewal."
BILLING,Can I cancel my subscription before the price change?,"Yes, you can cancel your subscription before your renewal. After canceling, you will not be charged the new price."
BILLING,Will my current benefits change?,"No, you’ll continue enjoying all the current benefits along with the added benefits brought as part of your new STARZPLAY MAX subscription."
BILLING,Can I switch back to my old subscription after the change?,"No, once you are migrated to STARZPLAY MAX, you cannot revert to the legacy subscription.
For any further questions, please contact support. We're here to help!"
BILLING,Will I receive a refund if I cancel before the price change?,"If you cancel your subscription before the renewal, you will not be charged the new price. Refunds are subject to the standard terms and conditions."
BILLING,How will I be charged after the change?,"After the notice period, you’ll be charged the new STARZPLAY MAX price, with any applicable discounts applied."
BILLING,What will happen to my payment method?,Your payment method will remain the same. The only change will be the new price for STARZPLAY MAX.
BILLING,When will the change happen?,The change will happen on your second renewal after receiving the notice. You’ll continue enjoying STARZPLAY MAX during the 30-day notice period.
BILLING,What if I have multiple subscriptions at the same time?,"If you have STARZPLAY Sports & Cricket or STARZPLAY Sports & STARAZPLAY Entertainment as individual subscriptions, on the same payment method, both will be replaced by STARZPLAY MAX.
If you have STARZPLAY Sports and Cricket as individual subscriptions, on the same payment method, both will be replaced by STARZPLAY MAX.
If one of these subscriptions is through Apple IAP, or payment methods other than Credit Card or Google IAP, you will need to deactivate the other subscription to avoid extra charges on the other subscription, as it would be already included in your STARZPLAY MAX subscription."
BILLING,What happens to my discount?,"If you were benefiting from a discount on your STARZPLAY Sports subscription, it will now be applied to the new STARZPLAY MAX pricing as follows:
- For percentage-based discounts, the same percentage will be applied to the new price.
- For fixed-amount discounts, they will be replaced with a 50% discount on the new price, valid for a lifetime."
BILLING,Will I get early access to the new subscription?,"Yes, you’ll get early access to STARZPLAY MAX during the 30-day notice period before the price change."
BILLING,What’s the notice period?,"If you have subscribed prior to January 10th, then your 30-day notice period starts from your subscription's renewal date between January 10th till February 9th.
If you have subscribed between January 10th till February 9th, then your 30-day notice period starts from your subscription's renewal date between February 9th till March 11th."
BILLING,What’s changing with my STARZPLAY Sports subscription?,"If you are active on STARZPLAY Sports or Cricket Monthly subscription through Google IAP or Credit Card method of payment, your subscription will be automatically upgraded to STARZPLAY MAX after the notice period commences, where you will be charged with the new price on your next renewal."
BILLING,How will I be notified?,"- Renewing during the notice period (Jan 10–Feb 9) will get an immediate email notice.
- New subscriptions during the notice period will get a notice on the first renewal, with the migration happening on the second consecutive renewal."
BILLING,When will VAT be implemented and what will be the rates?,"VAT (Value added tax) is applicable in GCC countries as per the below:
UAE: 5% - applicable from 1 January 2018
Bahrain: 10% - applicable from 1 January 2022
KSA: 15% - applicable from 1 July 2020"
BILLING,How do I change or update my payment method?,Sign in to STARZPLAY from a desktop or mobile web browser. Navigate to Settings>Payments and change your payment method.
BILLING,Can I subscribe using my iTunes account?,"Yep! Once you've signed up to STARZPLAY, select the Apple in-app payment method and follow the on-screen instructions. You will be asked to enter your Apple iTunes account details which may differ from your STARZPLAY username and password."
BILLING,How do I know how much VAT have I paid?,You can view your monthly Tax Invoice in Settings>Payments>Payment History.
BILLING,"If my method of payment is a telecom operator (Etisalat / du / STC / Mobily / Zain or else), will I be charged VAT more than once?",VAT is only payable once on each subscription and in this case will be collected by your mobile operator.
